Sticker,MEX,RSA,KOR,CZE,CAN,BIH,QAT,SUI,BRA,MAR,HAI,SCO,USA,PAR,AUS,TUR,GER,CUW,CIV,ECU,NED,JPN,SWE,TUN,BEL,EGY,IRN,NZL,ESP,CPV,KSA,URU,FRA,SEN,IRQ,NOR,ARG,ALG,AUT,JOR,POR,COD,UZB,COL,ENG,CRO,GHA,PAN,FWC
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWC0
1,MEX1,RSA1,KOR1,CZE1,CAN1,BIH1,QAT1,SUI1,BRA1,MAR1,HAI1,SCO1,USA1,PAR1,AUS1,TUR1,GER1,CUW1,CIV1,ECU1,NED1,JPN1,SWE1,TUN1,BEL1,EGY1,IRN1,NZL1,ESP1,CPV1,KSA1,URU1,FRA1,SEN1,IRQ1,NOR1,ARG1,ALG1,AUT1,JOR1,POR1,COD1,UZB1,COL1,ENG1,CRO1,GHA1,PAN1,FWC1
2,MEX2,RSA2,KOR2,CZE2,CAN2,BIH2,QAT2,SUI2,BRA2,MAR2,HAI2,SCO2,USA2,PAR2,AUS2,TUR2,GER2,CUW2,CIV2,ECU2,NED2,JPN2,SWE2,TUN2,BEL2,EGY2,IRN2,NZL2,ESP2,CPV2,KSA2,URU2,FRA2,SEN2,IRQ2,NOR2,ARG2,ALG2,AUT2,JOR2,POR2,COD2,UZB2,COL2,ENG2,CRO2,GHA2,PAN2,FWC2
3,MEX3,RSA3,KOR3,CZE3,CAN3,BIH3,QAT3,SUI3,BRA3,MAR3,HAI3,SCO3,USA3,PAR3,AUS3,TUR3,GER3,CUW3,CIV3,ECU3,NED3,JPN3,SWE3,TUN3,BEL3,EGY3,IRN3,NZL3,ESP3,CPV3,KSA3,URU3,FRA3,SEN3,IRQ3,NOR3,ARG3,ALG3,AUT3,JOR3,POR3,COD3,UZB3,COL3,ENG3,CRO3,GHA3,PAN3,FWC3
4,MEX4,RSA4,KOR4,CZE4,CAN4,BIH4,QAT4,SUI4,BRA4,MAR4,HAI4,SCO4,USA4,PAR4,AUS4,TUR4,GER4,CUW4,CIV4,ECU4,NED4,JPN4,SWE4,TUN4,BEL4,EGY4,IRN4,NZL4,ESP4,CPV4,KSA4,URU4,FRA4,SEN4,IRQ4,NOR4,ARG4,ALG4,AUT4,JOR4,POR4,COD4,UZB4,COL4,ENG4,CRO4,GHA4,PAN4,FWC4
5,MEX5,RSA5,KOR5,CZE5,CAN5,BIH5,QAT5,SUI5,BRA5,MAR5,HAI5,SCO5,USA5,PAR5,AUS5,TUR5,GER5,CUW5,CIV5,ECU5,NED5,JPN5,SWE5,TUN5,BEL5,EGY5,IRN5,NZL5,ESP5,CPV5,KSA5,URU5,FRA5,SEN5,IRQ5,NOR5,ARG5,ALG5,AUT5,JOR5,POR5,COD5,UZB5,COL5,ENG5,CRO5,GHA5,PAN5,FWC5
6,MEX6,RSA6,KOR6,CZE6,CAN6,BIH6,QAT6,SUI6,BRA6,MAR6,HAI6,SCO6,USA6,PAR6,AUS6,TUR6,GER6,CUW6,CIV6,ECU6,NED6,JPN6,SWE6,TUN6,BEL6,EGY6,IRN6,NZL6,ESP6,CPV6,KSA6,URU6,FRA6,SEN6,IRQ6,NOR6,ARG6,ALG6,AUT6,JOR6,POR6,COD6,UZB6,COL6,ENG6,CRO6,GHA6,PAN6,FWC6
7,MEX7,RSA7,KOR7,CZE7,CAN7,BIH7,QAT7,SUI7,BRA7,MAR7,HAI7,SCO7,USA7,PAR7,AUS7,TUR7,GER7,CUW7,CIV7,ECU7,NED7,JPN7,SWE7,TUN7,BEL7,EGY7,IRN7,NZL7,ESP7,CPV7,KSA7,URU7,FRA7,SEN7,IRQ7,NOR7,ARG7,ALG7,AUT7,JOR7,POR7,COD7,UZB7,COL7,ENG7,CRO7,GHA7,PAN7,FWC7
8,MEX8,RSA8,KOR8,CZE8,CAN8,BIH8,QAT8,SUI8,BRA8,MAR8,HAI8,SCO8,USA8,PAR8,AUS8,TUR8,GER8,CUW8,CIV8,ECU8,NED8,JPN8,SWE8,TUN8,BEL8,EGY8,IRN8,NZL8,ESP8,CPV8,KSA8,URU8,FRA8,SEN8,IRQ8,NOR8,ARG8,ALG8,AUT8,JOR8,POR8,COD8,UZB8,COL8,ENG8,CRO8,GHA8,PAN8,FWC8
9,MEX9,RSA9,KOR9,CZE9,CAN9,BIH9,QAT9,SUI9,BRA9,MAR9,HAI9,SCO9,USA9,PAR9,AUS9,TUR9,GER9,CUW9,CIV9,ECU9,NED9,JPN9,SWE9,TUN9,BEL9,EGY9,IRN9,NZL9,ESP9,CPV9,KSA9,URU9,FRA9,SEN9,IRQ9,NOR9,ARG9,ALG9,AUT9,JOR9,POR9,COD9,UZB9,COL9,ENG9,CRO9,GHA9,PAN9,FWC9
10,MEX10,RSA10,KOR10,CZE10,CAN10,BIH10,QAT10,SUI10,BRA10,MAR10,HAI10,SCO10,USA10,PAR10,AUS10,TUR10,GER10,CUW10,CIV10,ECU10,NED10,JPN10,SWE10,TUN10,BEL10,EGY10,IRN10,NZL10,ESP10,CPV10,KSA10,URU10,FRA10,SEN10,IRQ10,NOR10,ARG10,ALG10,AUT10,JOR10,POR10,COD10,UZB10,COL10,ENG10,CRO10,GHA10,PAN10,FWC10
11,MEX11,RSA11,KOR11,CZE11,CAN11,BIH11,QAT11,SUI11,BRA11,MAR11,HAI11,SCO11,USA11,PAR11,AUS11,TUR11,GER11,CUW11,CIV11,ECU11,NED11,JPN11,SWE11,TUN11,BEL11,EGY11,IRN11,NZL11,ESP11,CPV11,KSA11,URU11,FRA11,SEN11,IRQ11,NOR11,ARG11,ALG11,AUT11,JOR11,POR11,COD11,UZB11,COL11,ENG11,CRO11,GHA11,PAN11,FWC11
12,MEX12,RSA12,KOR12,CZE12,CAN12,BIH12,QAT12,SUI12,BRA12,MAR12,HAI12,SCO12,USA12,PAR12,AUS12,TUR12,GER12,CUW12,CIV12,ECU12,NED12,JPN12,SWE12,TUN12,BEL12,EGY12,IRN12,NZL12,ESP12,CPV12,KSA12,URU12,FRA12,SEN12,IRQ12,NOR12,ARG12,ALG12,AUT12,JOR12,POR12,COD12,UZB12,COL12,ENG12,CRO12,GHA12,PAN12,FWC12
13,MEX13,RSA13,KOR13,CZE13,CAN13,BIH13,QAT13,SUI13,BRA13,MAR13,HAI13,SCO13,USA13,PAR13,AUS13,TUR13,GER13,CUW13,CIV13,ECU13,NED13,JPN13,SWE13,TUN13,BEL13,EGY13,IRN13,NZL13,ESP13,CPV13,KSA13,URU13,FRA13,SEN13,IRQ13,NOR13,ARG13,ALG13,AUT13,JOR13,POR13,COD13,UZB13,COL13,ENG13,CRO13,GHA13,PAN13,FWC13
14,MEX14,RSA14,KOR14,CZE14,CAN14,BIH14,QAT14,SUI14,BRA14,MAR14,HAI14,SCO14,USA14,PAR14,AUS14,TUR14,GER14,CUW14,CIV14,ECU14,NED14,JPN14,SWE14,TUN14,BEL14,EGY14,IRN14,NZL14,ESP14,CPV14,KSA14,URU14,FRA14,SEN14,IRQ14,NOR14,ARG14,ALG14,AUT14,JOR14,POR14,COD14,UZB14,COL14,ENG14,CRO14,GHA14,PAN14,FWC14
15,MEX15,RSA15,KOR15,CZE15,CAN15,BIH15,QAT15,SUI15,BRA15,MAR15,HAI15,SCO15,USA15,PAR15,AUS15,TUR15,GER15,CUW15,CIV15,ECU15,NED15,JPN15,SWE15,TUN15,BEL15,EGY15,IRN15,NZL15,ESP15,CPV15,KSA15,URU15,FRA15,SEN15,IRQ15,NOR15,ARG15,ALG15,AUT15,JOR15,POR15,COD15,UZB15,COL15,ENG15,CRO15,GHA15,PAN15,FWC15
16,MEX16,RSA16,KOR16,CZE16,CAN16,BIH16,QAT16,SUI16,BRA16,MAR16,HAI16,SCO16,USA16,PAR16,AUS16,TUR16,GER16,CUW16,CIV16,ECU16,NED16,JPN16,SWE16,TUN16,BEL16,EGY16,IRN16,NZL16,ESP16,CPV16,KSA16,URU16,FRA16,SEN16,IRQ16,NOR16,ARG16,ALG16,AUT16,JOR16,POR16,COD16,UZB16,COL16,ENG16,CRO16,GHA16,PAN16,FWC16
17,MEX17,RSA17,KOR17,CZE17,CAN17,BIH17,QAT17,SUI17,BRA17,MAR17,HAI17,SCO17,USA17,PAR17,AUS17,TUR17,GER17,CUW17,CIV17,ECU17,NED17,JPN17,SWE17,TUN17,BEL17,EGY17,IRN17,NZL17,ESP17,CPV17,KSA17,URU17,FRA17,SEN17,IRQ17,NOR17,ARG17,ALG17,AUT17,JOR17,POR17,COD17,UZB17,COL17,ENG17,CRO17,GHA17,PAN17,FWC17
18,MEX18,RSA18,KOR18,CZE18,CAN18,BIH18,QAT18,SUI18,BRA18,MAR18,HAI18,SCO18,USA18,PAR18,AUS18,TUR18,GER18,CUW18,CIV18,ECU18,NED18,JPN18,SWE18,TUN18,BEL18,EGY18,IRN18,NZL18,ESP18,CPV18,KSA18,URU18,FRA18,SEN18,IRQ18,NOR18,ARG18,ALG18,AUT18,JOR18,POR18,COD18,UZB18,COL18,ENG18,CRO18,GHA18,PAN18,FWC18
19,MEX19,RSA19,KOR19,CZE19,CAN19,BIH19,QAT19,SUI19,BRA19,MAR19,HAI19,SCO19,USA19,PAR19,AUS19,TUR19,GER19,CUW19,CIV19,ECU19,NED19,JPN19,SWE19,TUN19,BEL19,EGY19,IRN19,NZL19,ESP19,CPV19,KSA19,URU19,FRA19,SEN19,IRQ19,NOR19,ARG19,ALG19,AUT19,JOR19,POR19,COD19,UZB19,COL19,ENG19,CRO19,GHA19,PAN19,FWC19
20,MEX20,RSA20,KOR20,CZE20,CAN20,BIH20,QAT20,SUI20,BRA20,MAR20,HAI20,SCO20,USA20,PAR20,AUS20,TUR20,GER20,CUW20,CIV20,ECU20,NED20,JPN20,SWE20,TUN20,BEL20,EGY20,IRN20,NZL20,ESP20,CPV20,KSA20,URU20,FRA20,SEN20,IRQ20,NOR20,ARG20,ALG20,AUT20,JOR20,POR20,COD20,UZB20,COL20,ENG20,CRO20,GHA20,PAN20,FWC20
